komentar,kantor,letak,rating,sentimen,komentar_clean
pelayanan lelet. tidak memuaskan,KCI Roxy Mas,Kota Jakarta Pusat,1,negatif,pelayanan lelet. memuaskan
"telp yang terdaftar tidak ada yang angkat, padahal penting perlu cal maybank cabang ini.bagaimana cara hubungi cabang ini kalau tidak bisa di telp ya.",KCI Roxy Mas,Kota Jakarta Pusat,2,negatif,"telp terdaftar angkat, cal maybank cabang ini.bagaimana hubungi cabang telp ya."
"tolong di perbaiki lagi kinerja csnya. saya sudah mingu pengajuan buku cek. awalnya di janjikan bisa. tapi setelah mingu, bilangnya belum juga jadi, karena alasan berbelit. kalau memang gabisa atau persyaratanya sulit jangan bilang gabisa. biar saya ajukan di kc yang lain.",KCI Roxy Mas,Kota Jakarta Pusat,1,negatif,"tolong perbaiki kinerja csnya. mingu pengajuan buku cek. janjikan bisa. mingu, bilangnya jadi, alasan berbelit. gabisa persyaratanya sulit bilang gabisa. biar ajukan kc lain."
"payah transaksi pembayaran saja menghabiskan waktu menit , konfirmasi sampai x, padahal banknya ada nama, tapi pekerjanya slow semua membuat nasabah habis waktu karena menungu proses dan konfirmasi bukan karena antri, kalau banyak nasabah masih oke, ini nasabah gak banyak kerjanya slow gak tau yang dikerjain apa sampai nasabah menungu lama, ternyata info dari kurir juga kerjanya lama, setiap transaksi di maybank selalu di tingal nanti baru balik lg ambil slipnya top banget dah pekerjanya",KCI Roxy Mas,Kota Jakarta Pusat,1,negatif,"payah transaksi pembayaran menghabiskan menit , konfirmasi x, banknya nama, pekerjanya slow nasabah habis menungu proses konfirmasi antri, nasabah oke, nasabah gak kerjanya slow gak tau dikerjain nasabah menungu lama, info kurir kerjanya lama, transaksi maybank tingal lg ambil slipnya top banget dah pekerjanya"
pelayanan sangat lama lama banget csnya menungu sudah hampir menit,KCP Green Ville,Kota Jakarta Barat,1,negatif,pelayanan banget csnya menungu menit
service telernya lama sekali,KCP Green Ville,Kota Jakarta Barat,2,negatif,service telernya
wrong location in maps,KCP Green Ville,Kota Jakarta Barat,1,negatif,wrong location maps
"pelayananya sangat lama ya, mau setun aja ngurusi customer tidak beres menit tidak kelar, telernya kebanyakan ngobrol, mau kerja nga?kl mau kerja sambil ngomong jadi host live e comerce aja deh mendingan",KCP Central Park,Kota Jakarta Barat,1,negatif,"pelayananya ya, setun aja ngurusi customer beres menit kelar, telernya kebanyakan ngobrol, kerja nga?kl kerja ngomong host live e comerce aja deh mendingan"
"bad service, not only ofline but also online. gak hanya minta dikritik, tapi minta dihina. tolong tgjwbnya thd masalah saya, sudah dari awal feb sampai sekarang masih gak selesai juga. gak ad tgjwb.",KCP Central Park,Kota Jakarta Barat,1,negatif,"bad service, ofline also online. gak dikritik, dihina. tolong tgjwbnya thd saya, feb gak selesai juga. gak ad tgjwb."
pelayananya lma,KCP Daan Mogot,Kota Jakarta Barat,1,negatif,pelayananya lma
pelayanan lama,KCP Daan Mogot,Kota Jakarta Barat,1,negatif,pelayanan
lokasi salah,KCP Daan Mogot,Kota Jakarta Barat,1,negatif,lokasi salah
"ribet, di kcp lain bikin juga tidak udah pake surat pengantar perusahan",KCP Daan Mogot Baru,Kota Jakarta Barat,1,negatif,"ribet, kcp bikin udah pake surat pengantar perusahan"
amit amit sama mba mba ini namanya “ ayu “ mau buka rekening kaya ogahan bilangnya konfirmasi dulu ke orang pusat nunggu sampai dia ngabarin saya tanya ngabarinya lewat apa ya mba dia malah jawab “ lewat telpon lah masa lewat wa prinadi saya “ pantes gak si ngomong begitu ke pelangan kan bisa jawab yang lebih sopan saya tungu dari pagi sampai jam siang cuman di bilang begitu tanpa di kasih saran apa buang waktu dan hari ini saya ke cabang pasar lama pelayananya super duper ramah pol beda sama yang ini mending ke yang cabang pasar lama walaupun jauh tapi worit banget sama pelayananya ramah banget tolong di trening lagi yang namanya ayu,KCP Daan Mogot Baru,Kota Jakarta Barat,1,negatif,amit amit mba mba namanya “ ayu “ buka rekening kaya ogahan bilangnya konfirmasi orang pusat nunggu ngabarin ngabarinya ya mba “ telpon wa prinadi “ pantes gak si ngomong pelangan sopan tungu pagi jam siang cuman bilang kasih saran buang cabang pasar pelayananya super duper ramah pol beda mending cabang pasar worit banget pelayananya ramah banget tolong trening namanya ayu
i don't find this maybank at this location !,KCP Daan Mogot Baru,Kota Jakarta Barat,1,negatif,find maybank location !
lama banget pelayananya,KCP Daan Mogot Baru,Kota Jakarta Barat,1,negatif,banget pelayananya
customer service tidak ada lebih dr jam. better close this branch,KCP Daan Mogot Baru,Kota Jakarta Barat,1,negatif,customer service dr jam. better close branch
titiknya jauh banget,KCP Daan Mogot Baru,Kota Jakarta Barat,2,negatif,titiknya banget
payah. nolak dengan halus alasan telkom eror . bank getu loh,KCP Daan Mogot Baru,Kota Jakarta Barat,1,negatif,payah. nolak halus alasan telkom eror . bank getu loh
untuk mapsnya mungkin bisa di update. karna jauh dari titik.,KCP Daan Mogot Baru,Kota Jakarta Barat,1,negatif,mapsnya update. karna titik.
"telpon operator kcp dan mogot baru. pas lgi tgu, mati terus",KCP Daan Mogot Baru,Kota Jakarta Barat,1,negatif,"telpon operator kcp mogot baru. pas lgi tgu, mati"
"hari ini saya kecewa dengan bca sudah antri lama sat ingin membuat key bca tidak bisa dan jawaban dari csnya sangat meremehkan apa mentang"" saya orang indo asli giliran setelah saya orang chinese mereka berikan",KCP Daan Mogot Baru,Kota Jakarta Barat,1,negatif,"kecewa bca antri sat key bca csnya meremehkan mentang"" orang indo asli giliran orang chinese"
telpon tidak diangkat- angkat sangat menyebalkan.,KC Cempaka Mas,Kota Jakarta Pusat,1,negatif,telpon diangkat- angkat menyebalkan.
"disini harus punya waktu yang panjang, customer service mengangap antrian hanya sebagai nomor, bukan nasabah yang punya kepentingan lainya.",KC Cempaka Mas,Kota Jakarta Pusat,2,negatif,"panjang, customer service mengangap antrian nomor, nasabah kepentingan lainya."
lelet banget pelayananya,KC Cempaka Mas,Kota Jakarta Pusat,1,negatif,lelet banget pelayananya
membuka blokir jam tidak bisa kelar akhirnya suruh pulang nunggu informasi cabang kemaoran,KC Cempaka Mas,Kota Jakarta Pusat,1,negatif,membuka blokir jam kelar suruh pulang nunggu informasi cabang kemaoran
"sangat buruk, lbh mendekati k modus penipuan pd nasabah yang dg jasa online. ini pengalaman saya sendiri. smg oknumnya dapat hukuman yang semestinya. karena syg bnget sb ini membawa nama maybank. bank yang sdh py nama. bs merusak kepercayan. rb, merusak nama instansinya.",KC Cempaka Mas,Kota Jakarta Pusat,1,negatif,"buruk, lbh mendekati k modus penipuan pd nasabah dg jasa online. pengalaman sendiri. smg oknumnya hukuman semestinya. syg bnget sb membawa nama maybank. bank sdh py nama. bs merusak kepercayan. rb, merusak nama instansinya."
"lama buka nya,kirain jam buka eh jam blom buka",KC Cempaka Mas,Kota Jakarta Pusat,1,negatif,"buka nya,kirain jam buka eh jam blom buka"
antrianya lama banget.coba tambahin csnya.customer nungunya lama.,KC Cempaka Mas,Kota Jakarta Pusat,1,negatif,antrianya banget.coba tambahin csnya.customer nungunya lama.
kurang baik minta tf trus,KC Cempaka Mas,Kota Jakarta Pusat,1,negatif,tf trus
yang sudah cair pinjam melalui whatsap siapa ya wa saya:,KC Cempaka Mas,Kota Jakarta Pusat,1,negatif,cair pinjam whatsap ya wa saya:
"amburadul, pelayanan mengecewakan. lebih banyak dilayani oleh satpam, komunikasi dengan petugas bank minim.",KCP Ekajiwa,Kota Jakarta Pusat,1,negatif,"amburadul, pelayanan mengecewakan. dilayani satpam, komunikasi petugas bank minim."
sistem maybank finance kurang bagus dan staf yang bekerja tidak kompeten,KCP Ekajiwa,Kota Jakarta Pusat,1,negatif,sistem maybank finance bagus staf kompeten
"proses penukaran uang lama. kami yang sdh daftar di aplikasi harus antri, ternyata yang punya rek bank tsb, datang langsng bisa tukar. terdapat diskriminasi. sdh hampir jam belum dipangil. yang baru dateng, lngsng maju.",KC Fatmawati,Kota Jakarta Selatan,1,negatif,"proses penukaran uang lama. sdh daftar aplikasi antri, rek bank tsb, langsng tukar. diskriminasi. sdh jam dipangil. dateng, lngsng maju."
"pengalaman paling buruk datang ke bank ya ke maybank cabang fatmawati ini! saya bukan nasabahnya, saya datang untuk tukar uang serambi. saya sudah daftar lewat aplikasi pintar bi. kesalahan saya memilih bank ini. karena cepat waktu pedaftaran online dan lihat deket rumah di bank ini yang masih tersedia kuotanya. sudah datang ontime sesuai waktu. ternyata telernya lamban banget!. ada meja teler, yang aktif cuma ! sementara banyak customer service yang ngangur! knp tidak bantu untuk sementara agar tukar uang ini lancar? sunguh pemimpin cabang ini tidak bisa gercep! dan belum harus mengalah ngelayanin nasabah kalau ada nasabah yang mau datang. ngelayanin tukar uang serambi orangnya bisa - menit. belum kalau nasabah, bisa - menit. tidak masuk diakal lambanya, bikin ngelus dada. sunguh sangat memotong waktu produktif yang harusnya bisa untuk kerja. dengan pelayanan yang buruk banget ini, saya tidak akan pernah jadi nasabah maybank! bi, tolong hapus maybank dari partner untuk tukar uang serambi lebaran! total waktu yang saya habiskan di maybank jam! parah banget!",KC Fatmawati,Kota Jakarta Selatan,1,negatif,"pengalaman buruk bank ya maybank cabang fatmawati ini! nasabahnya, tukar uang serambi. daftar aplikasi pintar bi. kesalahan memilih bank ini. cepat pedaftaran online lihat deket rumah bank tersedia kuotanya. ontime sesuai waktu. telernya lamban banget!. meja teler, aktif ! customer service ngangur! knp bantu tukar uang lancar? sunguh pemimpin cabang gercep! mengalah ngelayanin nasabah nasabah datang. ngelayanin tukar uang serambi orangnya - menit. nasabah, - menit. masuk diakal lambanya, bikin ngelus dada. sunguh memotong produktif kerja. pelayanan buruk banget ini, nasabah maybank! bi, tolong hapus maybank partner tukar uang serambi lebaran! total habiskan maybank jam! parah banget!"
cuma primt rekening koran nunggu jam. lama banget petuas cuma satu.,KC Fatmawati,Kota Jakarta Selatan,1,negatif,primt rekening koran nunggu jam. banget petuas satu.
"juara kalau gak angkat telepon, ampun seampunya",KC Fatmawati,Kota Jakarta Selatan,1,negatif,"juara gak angkat telepon, ampun seampunya"
