komentar,kantor,letak,rating,sentimen,komentar_clean
terima kasih untuk ibu teler karena sudah ngebantu saya dalam pembayaran pajak di detik detik terakhir.,KCI Roxy Mas,Kota Jakarta Pusat,5,positif,terima kasih teler ngebantu pembayaran pajak detik detik terakhir.
terima kasih ibu dewi dan pak ervin atas keramahanya dan telah membantu saya membuka rekening baru dan banyak di informasikan program di maybank sehat dan sukses selalu. …,KCI Roxy Mas,Kota Jakarta Pusat,5,positif,terima kasih dewi ervin keramahanya membantu membuka rekening informasikan program maybank sehat sukses selalu. …
"berbagi pengalaman hari inin pertama datang ke my bank roxy,puas banget dengan pelayan ibu fitriani terima kasih tetap konsisten ,tetap semangat sehat selalu",KCI Roxy Mas,Kota Jakarta Pusat,5,positif,"berbagi pengalaman inin bank roxy,puas banget pelayan fitriani terima kasih konsisten ,tetap semangat sehat"
"telernya ramah, bisa menyampaikan informasi dengan baik dan mudah saya dipahami.",KCP Green Ville,Kota Jakarta Barat,5,positif,"telernya ramah, informasi mudah dipahami."
tidak ada,KCP Green Ville,Kota Jakarta Barat,5,positif,
pelayanananya ramah,KCP Central Park,Kota Jakarta Barat,5,positif,pelayanananya ramah
pelayanan sangat memuaskan sat mengajukan pinjaman kta,KCP Central Park,Kota Jakarta Barat,5,positif,pelayanan memuaskan sat mengajukan pinjaman kta
pelayanananya alhamdulilah sangat memuaskan. melayani dengan hati yang tulus. serta membantu nasabah dan calon nasabah yang akan bertransaksi. semoga maybank central park semakin jaya dan tetap dihati para nasabahnya.,KCP Central Park,Kota Jakarta Barat,5,positif,pelayanananya alhamdulilah memuaskan. melayani hati tulus. membantu nasabah calon nasabah bertransaksi. semoga maybank central park jaya dihati nasabahnya.
pelayananya sangat baik,KCP Central Park,Kota Jakarta Barat,5,positif,pelayananya
ok,KCP Central Park,Kota Jakarta Barat,5,positif,ok
good service,KCP Central Park,Kota Jakarta Barat,5,positif,good service
pelayanan customer service dan teler sangat ramah dan membantu nasabah.,KCP Central Park,Kota Jakarta Barat,5,positif,pelayanan customer service teler ramah membantu nasabah.
sangat membatu.dan pelayananya sangat baik,KCP Central Park,Kota Jakarta Barat,5,positif,membatu.dan pelayananya
pelayananya ramah …,KCP Central Park,Kota Jakarta Barat,5,positif,pelayananya ramah …
pelayanan sangat ramah,KCP Central Park,Kota Jakarta Barat,5,positif,pelayanan ramah
